disorder;disorder_OMIM;disorder_cat;symptom;symptom_cat;gene_symb;gene_OMIM;gene_cytoloc
Charcot-Marie-Tooth disease type 4;145900;Charcot-Marie-Tooth disease;sensory ataxia;Impaired proprioception;EGR2, KROX20;129010;10q21.3
Charcot-Marie-Tooth disease type 4;145900;Charcot-Marie-Tooth disease;sensory ataxia;Impaired proprioception;MPZ, CMT1B, CMTDID, CHM, DSS;159440;1q23.3
Charcot-Marie-Tooth disease type 4;145900;Charcot-Marie-Tooth disease;sensory ataxia;Impaired proprioception;PMP22, CMT1A, CMT1E, DSS;601097;17p12
Charcot-Marie-Tooth disease type 4;145900;Charcot-Marie-Tooth disease;sensory ataxia;Impaired proprioception;PRX, CMT4F;605725;19q13.2
Charcot-Marie-Tooth disease type 4;214400;Charcot-Marie-Tooth disease;peripheral hypomyelination;Abnormal peripheral myelination;GDAP1, CMT4A, CMT2K, CMTRIA;606598;8q21.11
Charcot-Marie-Tooth disease type 4;601382;Charcot-Marie-Tooth disease;facial palsy;Abnormality of the seventh cranial nerve;MTMR2, CMT4B1;603557;11q21
Charcot-Marie-Tooth disease type 4;601455;Charcot-Marie-Tooth disease;abnormal auditory evoked potentials;Abnormality of central nervous system electrophysiology;NDRG1, HMSNL, CMT4D;605262;8q24.22
Charcot-Marie-Tooth disease type 4;601596;Charcot-Marie-Tooth disease;tongue atrophy;Abnormality of the tongue;SH3TC2, KIAA1985, MNMN;608206;5q32
Charcot-Marie-Tooth disease type 4;604563;Charcot-Marie-Tooth disease;foot dorsiflexor weakness;Proximal muscle weakness in lower limbs;SBF2, MTMR13, CMT4B2;607697;11p15.4
Charcot-Marie-Tooth disease type 4;605253;Charcot-Marie-Tooth disease;peripheral neuropathy;Abnormal peripheral nervous system morphology;EGR2, KROX20;129010;10q21.3
Charcot-Marie-Tooth disease type 4;605253;Charcot-Marie-Tooth disease;peripheral neuropathy;Abnormal peripheral nervous system morphology;MPZ, CMT1B, CMTDID, CHM, DSS;159440;1q23.3
Charcot-Marie-Tooth disease type 4;607706;Charcot-Marie-Tooth disease;spinal deformities;Abnormality of the vertebral column;GDAP1, CMT4A, CMT2K, CMTRIA;606598;8q21.11
Charcot-Marie-Tooth disease type 4;609311;Charcot-Marie-Tooth disease;peripheral demyelination;Abnormal peripheral myelination;FGD4, FRABIN, CMT4H;611104;12p11.21
Charcot-Marie-Tooth disease type 4;611228;Charcot-Marie-Tooth disease;peripheral hypomyelination;Abnormal peripheral myelination;FIG4, KIAA0274, SAC3, ALS11, YVS, BTOP;609390;6q21
Charcot-Marie-Tooth disease type 4;614895;Charcot-Marie-Tooth disease;peripheral demyelination;Abnormal peripheral myelination;PRX, CMT4F;605725;19q13.2
Charcot-Marie-Tooth disease type 4;615284;Charcot-Marie-Tooth disease;progressive disorder;Pace of progression;SBF1, MTMR5, CMT4B3;603560;22q13.33
Charcot-Marie-Tooth disease type X;300905;Charcot-Marie-Tooth disease;hand muscle weakness;Abnormality of the musculature of the hand;PDK3, CMTX6;300906;Xp22.11
Charcot-Marie-Tooth disease type X;302800;Charcot-Marie-Tooth disease;toe walking;Gait disturbance;GJB1, CX32, CMTX1;304040;Xq13.1
Charcot-Marie-Tooth disease type X;310490;Charcot-Marie-Tooth disease;cognitive impairment;Abnormality of higher mental function;AIFM1, PDCD8, AIF, COXPD6, COWCK, CMTX4;300169;Xq26.1
Charcot-Marie-Tooth disease type X;311070;Charcot-Marie-Tooth disease;childhood onset;Onset;PRPS1, CMTX5, DFNX1, DFN2;311850;Xq22.3
Chediak-Higashi syndrome;214500;autosomal recessive disease;skin ulcer;Localized skin lesion;LYST, CHS1;606897;1q42.3
Clouston syndrome;129500;autosomal dominant disease;skin ulcer;Localized skin lesion;GJB6, CX30, DFNA3B, DFNB1B, ECTD2, HED2;604418;13q12.11
Cockayne syndrome;133540;autosomal recessive disease;arrhythmia;Abnormality of cardiovascular system physiology;ERCC6, CKN2, COFS1, CSB, ARMD5, UVSS1;609413;10q11.23
Cockayne syndrome;216400;autosomal recessive disease;arrhythmia;Abnormality of cardiovascular system physiology;ERCC8, CKN1, CSA, UVSS2;609412;5q12.1
Coffin-Lowry syndrome;303600;X-linked disease;self-injurious behavior;Abnormal aggressive, impulsive or violent behavior;RPS6KA3, RSK2, MRX19;300075;Xp22.12
Cornelia de Lange syndrome;122470;genetic disease;self-injurious behavior;Abnormal aggressive, impulsive or violent behavior;NIPBL, CDLS1;608667;5p13.2
Cornelia de Lange syndrome;300590;genetic disease;short stature;Growth delay;DXS423E, SMC1, CDLS2;300040;Xp11.22
Cornelia de Lange syndrome;300882;genetic disease;small hand;Aplasia/hypoplasia involving bones of the hand;HDAC8, WTS, MRXS6, CDLS5;300269;Xq13.1
Cornelia de Lange syndrome;610759;genetic disease;small hand;Aplasia/hypoplasia involving bones of the hand;CSPG6, SMC3, HCAP, BAM, CDLS3;606062;10q25.2
Cornelia de Lange syndrome;614701;genetic disease;exostoses;Neoplasm of the skeletal system;RAD21, SCC1, NXP1, KIAA0078, CDLS4;606462;8q24.11
Costello syndrome;218040;autosomal dominant disease;verrucae;Papilloma;HRAS;190020;11p15.5
Cowden disease;158350;autosomal dominant disease;intestinal polyposis;Intestinal polyp;PTEN, MMAC1, GLM2, CWS1;601728;10q23.31
Cowden disease;612359;autosomal dominant disease;endometrial carcinoma;Abnormality of the endometrium;SDHB, SDH2, SDHIP, PGL4, CWS2;185470;1p36.13
Creutzfeldt-Jakob disease;123400;prion disease;extrapyramidal muscular rigidity;Abnormality of extrapyramidal motor function;HLA-DQB1, CELIAC1;604305;6p21.32
Creutzfeldt-Jakob disease;123400;prion disease;extrapyramidal muscular rigidity;Abnormality of extrapyramidal motor function;PRNP, PRIP, KURU, CJD;176640;20p13
Crigler-Najjar syndrome;218800;bilirubin metabolic disorder;unconjugated hyperbilirubinemia;Hyperbilirubinemia;UGT1A1, UGT1, GNT1, BILIQTL1;191740;2q37.1
Crouzon syndrome;123500;craniosynostosis;sleep apnea;Sleep disturbance;FGFR2, BEK, CFD1, JWS, TK14, BBDS;176943;10q26.13
D-2-hydroxyglutaric aciduria;600721;2-hydroxyglutaric aciduria;d-2-hydroxyglutaric aciduria;Dicarboxylic aciduria;D2HGDH, D2HGD;609186;2q37.3
D-2-hydroxyglutaric aciduria;613657;2-hydroxyglutaric aciduria;d-2-hydroxyglutaric aciduria;Dicarboxylic aciduria;IDH2, IDPM, D2HGA2;147650;15q26.1
DNA ligase IV deficiency;606593;combined T cell and B cell immunodeficiency;teleangiectasia of the skin;Telangiectasia;LIG4, LIG4S;601837;13q33.3
Danon disease;300257;lysosomal storage disease;cognitive impairment;Abnormality of higher mental function;LAMP2, LAMPB, LGP110;309060;Xq24
Denys-Drash syndrome;194080;autosomal dominant disease;true hermaphroditism;Abnormal external genitalia;WT1, NPHS4;607102;11p13
DiGeorge syndrome;188400;T cell deficiency;schizophrenia;Behavioral abnormality;TBX1, DGS, CTHM, CAFS, TGA, DORV, VCFS, DGCR;602054;22q11.21
Diamond-Blackfan anemia;105650;congenital hypoplastic anemia;elevated red cell adenosine deaminase activity;Abnormal erythrocyte enzyme activity;RPS19, DBA, DBA1;603474;19q13.2
Diamond-Blackfan anemia;610629;congenital hypoplastic anemia;persistence of hemoglobin f;Abnormal hemoglobin;RPS24, DBA3;602412;10q22.3
Diamond-Blackfan anemia;612527;congenital hypoplastic anemia;erythroid hypoplasia;Abnormal number of erythroid precursors;RPS17, RPS17L1, RPS17L2, DBA4;180472;15q25.2
Diamond-Blackfan anemia;612528;congenital hypoplastic anemia;erythroid hypoplasia;Abnormal number of erythroid precursors;RPL35A, DBA5;180468;3q29
Diamond-Blackfan anemia;612561;congenital hypoplastic anemia;persistence of hemoglobin f;Abnormal hemoglobin;RPL5, DBA6;603634;1p22.1
Diamond-Blackfan anemia;612562;congenital hypoplastic anemia;small hypothenar eminence;Abnormality of the hypothenar eminence;RPL11, DBA7;604175;1p36.11
Diamond-Blackfan anemia;612563;congenital hypoplastic anemia;erythrocyte macrocytosis;Abnormality of erythrocytes;RPS7, DBA8;603658;2p25.3
Diamond-Blackfan anemia;613308;congenital hypoplastic anemia;anemia;Abnormality of erythrocytes;RPS10, DBA9;603632;6p21.31
Diamond-Blackfan anemia;613309;congenital hypoplastic anemia;anemia;Abnormality of erythrocytes;RPS26, DBA10;603701;12q13.2
Diamond-Blackfan anemia;614900;congenital hypoplastic anemia;absent thumb;Aplasia/Hypoplasia of the thumb;RPL26, DBA11;603704;17p13.1
Diamond-Blackfan anemia;615550;congenital hypoplastic anemia;elevated red cell adenosine deaminase activity;Abnormal erythrocyte enzyme activity;RPL15, DBA12;604174;3p24.2
Diamond-Blackfan anemia;615909;congenital hypoplastic anemia;elevated red cell adenosine deaminase activity;Abnormal erythrocyte enzyme activity;RPS29, DBA13;603633;14q21.3
Donohue Syndrome;246200;autosomal recessive disease;lipoatrophy;Lipodystrophy;INSR, HHF5;147670;19p13.2
Dowling-Degos disease;179850;pigmentation disease;progressive reticulate hyperpigmentation;Irregular hyperpigmentation;KRT5, DDD1;148040;12q13.13
Dowling-Degos disease;615327;pigmentation disease;autosomal dominant inheritance;Mode of inheritance;POFUT1, OFUCT1, KIAA0180, DDD2;607491;20q11.21
Dowling-Degos disease;615696;pigmentation disease;autosomal dominant inheritance;Mode of inheritance;POGLUT1, CLP46, KTELC1, RUMI, C3orf9, DDD4;615618;3q13.33
Down syndrome;190685;chromosomal disease;duodenal stenosis;Small intestinal stenosis;GATA1, GF1, ERYF1, NFE1, XLTDA, XLTT, XLANP;305371;Xp11.23
Dravet Syndrome;607208;infancy electroclinical syndrome;epileptic encephalopathy;Encephalopathy;SCN1A, GEFSP2, SMEI, FEB3A, EIEE6, FHM3;182389;2q24.3
Dravet Syndrome;607208;infancy electroclinical syndrome;epileptic encephalopathy;Encephalopathy;SCN9A, NENA, PN1, FEB3B, GEFSP7, SFNP, HSAN2D;603415;2q24.3
Duane retraction syndrome;604356;strabismus;duane anomaly;Abnormality of eye movement;CHN1, CHN, ARHGAP2, RHOGAP2, DURS2;118423;2q31.1
Dubin-Johnson syndrome;237500;bilirubin metabolic disorder;abnormality of temperature regulation;Abnormality of metabolism/homeostasis;ABCC2, CMOAT;601107;10q24.2
Duchenne muscular dystrophy;310200;muscular dystrophy;arrhythmia;Abnormality of cardiovascular system physiology;DMD, BMD, CMD3B;300377;Xp21.2-p21.1
Ehlers-Danlos syndrome progeroid type;615349;Ehlers-Danlos syndrome;flat face;Abnormal facial shape;B3GALT6, SEMDJL1, EDSP2;615291;1p36.33
Ehlers-Danlos syndrome;130070;collagen disease;slender toe;Abnormality of toe;B4GALT7, XGALT1, XGPT1, EDSP1;604327;5q35.3
Ehlers-Danlos syndrome;225400;collagen disease;decreased corneal thickness;Abnormality of corneal thickness;PLOD1, LH1, LLH, EDS6;153454;1p36.22
Ellis-Van Creveld syndrome;225500;autosomal recessive disease;cognitive impairment;Abnormality of higher mental function;EVC;604831;4p16.2
Ellis-Van Creveld syndrome;225500;autosomal recessive disease;cognitive impairment;Abnormality of higher mental function;LBN, EVC2;607261;4p16.2
Emery-Dreifuss muscular dystrophy;181350;muscular dystrophy;peroneal muscle weakness;Distal lower limb muscle weakness;LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS, LGMD1B;150330;1q22
Emery-Dreifuss muscular dystrophy;300696;muscular dystrophy;arrhythmia;Abnormality of cardiovascular system physiology;FHL1, SLIM1, XMPMA, KYOT, FHL1A, FHL1B;300163;Xq26.3
Emery-Dreifuss muscular dystrophy;310300;muscular dystrophy;type 1 muscle fiber atrophy;Muscle fiber atrophy;EMD, EDMD, STA;300384;Xq28
Emery-Dreifuss muscular dystrophy;612998;muscular dystrophy;childhood onset;Onset;SYNE1, KIAA0796, KIAA1756, KIAA1262, SCAR8, EDMD4;608441;6q25.1-q25.2
Emery-Dreifuss muscular dystrophy;612999;muscular dystrophy;arrhythmia;Abnormality of cardiovascular system physiology;SYNE2, NUANCE, KIAA1011, EDMD5;608442;14q23.2
Emery-Dreifuss muscular dystrophy;614302;muscular dystrophy;proximal amyotrophy;Skeletal muscle atrophy;TMEM43, ARVD5, ARVC5, EDMD7;612048;3p25.1
FG syndrome;300321;X-linked disease;underdeveloped superior crus of antihelix;Abnormality of superior crus of antihelix;FLNA, FLN1, NHBP, OPD1, OPD2, FMD, MNS, CVD1, CSBS;300017;Xq28
FG syndrome;300422;X-linked disease;prominent forehead;Abnormality of the forehead;CASK, MICPCH, FGS4, CMG, MRXSNA;300172;Xp11.4
FG syndrome;305450;X-linked disease;clinodactyly;Abnormality of digit;MED12, TNRC11, TRAP230, HOPA, KIAA0192, OKS, FGS1, OHDOX;300188;Xq13.1
Fabry disease;301500;sphingolipidosis;glomerulopathy;Abnormality of the glomerulus;GLA;300644;Xq22.1
Fanconi syndrome;613388;renal tubular transport disease;elevated alkaline phosphatase of bone origin;Elevated tissue non-specific alkaline phosphatase;SLC34A1, SLC17A2, NPT2, NPHLOP1, FRTS2;182309;5q35.3
Fanconi syndrome;615605;renal tubular transport disease;short stature;Growth delay;EHHADH, PBFE, LBFP, FRTS3;607037;3q27.2
Fanconi's anemia;227645;congenital hypoplastic anemia;complete duplication of thumb phalanx;Complete duplication of phalanx of hand;FANCC, FACC;613899;9q22.32
Fanconi's anemia;227646;congenital hypoplastic anemia;complete duplication of thumb phalanx;Complete duplication of phalanx of hand;FANCD2, FANCD, FACD, FAD;613984;3p25.3
Fanconi's anemia;227650;congenital hypoplastic anemia;complete duplication of thumb phalanx;Complete duplication of phalanx of hand;FANCA, FACA, FA1, FA, FAA;607139;16q24.3
Fanconi's anemia;300514;congenital hypoplastic anemia;absent thumb;Aplasia/Hypoplasia of the thumb;FAAP95, FAAP90, FLJ34064, FANCB;300515;Xp22.2
Fanconi's anemia;600901;congenital hypoplastic anemia;complete duplication of thumb phalanx;Complete duplication of phalanx of hand;FANCE, FACE;613976;6p21.31
Fanconi's anemia;603467;congenital hypoplastic anemia;bone marrow hypocellularity;Abnormality of multiple cell lineages in the bone marrow;FANCF;613897;11p14.3
Fanconi's anemia;605724;congenital hypoplastic anemia;short thumb;Aplasia/Hypoplasia of the thumb;BRCA2, FANCD1, BROVCA2, GLM3, PNCA2;600185;13q13.1
Fanconi's anemia;609053;congenital hypoplastic anemia;abnormal renal morphology;Abnormality of the kidney;FANCI, KIAA1794;611360;15q26.1
Fanconi's anemia;609054;congenital hypoplastic anemia;short thumb;Aplasia/Hypoplasia of the thumb;BRIP1, BACH1, FANCJ;605882;17q23.2
Fanconi's anemia;610832;congenital hypoplastic anemia;short thumb;Aplasia/Hypoplasia of the thumb;PALB2, FANCN, PNCA3;610355;16p12.2
Fanconi's anemia;613390;congenital hypoplastic anemia;short thumb;Aplasia/Hypoplasia of the thumb;RAD51C, FANCO, BROVCA3;602774;17q22
Fanconi's anemia;613951;congenital hypoplastic anemia;short palpebral fissure;Abnormal size of the palpebral fissures;SLX4, BTBD12, MUS312, KIAA1784, KIAA1987, FANCP;613278;16p13.3
Fanconi's anemia;614082;congenital hypoplastic anemia;multiple cafe-au-lait spots;Cafe-au-lait spot;XRCC9, FANCG;602956;9p13.3
Fanconi's anemia;614083;congenital hypoplastic anemia;abnormality of chromosome stability;Abnormality of cell physiology;PHF9, FANCL;608111;2p16.1
Fanconi's anemia;614087;congenital hypoplastic anemia;abnormality of chromosome stability;Abnormality of cell physiology;FANCM, KIAA1596;609644;14q21.2
Fanconi's anemia;615272;congenital hypoplastic anemia;absent thumb;Aplasia/Hypoplasia of the thumb;ERCC4, XPF, FANCQ;133520;16p13.12
Farber lipogranulomatosis;228000;lipid storage disease;cognitive impairment;Abnormality of higher mental function;ASAH1, AC, SMAPME;613468;8p22
Finnish type amyloidosis;105120;amyloidosis;adult onset;Onset;GSN;137350;9q33.2
Frasier syndrome;136680;autosomal dominant disease;glomerulopathy;Abnormality of the glomerulus;WT1, NPHS4;607102;11p13
Friedreich ataxia;229300;spinocerebellar ataxia;impaired proprioception;Sensory impairment;FXN, FRDA, FARR, X25;606829;9q21.11
Fuchs' endothelial dystrophy;136800;corneal dystrophy;corneal stromal edema;Abnormality of corneal stroma;COL8A2, FECD1, PPCD2;120252;1p34.3
Fuchs' endothelial dystrophy;613268;corneal dystrophy;corneal dystrophy;Abnormality of the cornea;SLC4A11, BTR1, NABC1, CHED2, CDPD, FECD4;610206;20p13
Fuchs' endothelial dystrophy;613270;corneal dystrophy;corneal dystrophy;Abnormality of the cornea;ZEB1, TCF8, NIL2A, PPCD3, FECD6;189909;10p11.22
Fuchs' endothelial dystrophy;615523;corneal dystrophy;corneal dystrophy;Abnormality of the cornea;AGBL1, CCP4, FECD8;615496;15q25.3
Fukuyama congenital muscular dystrophy;253800;congenital muscular dystrophy;calf muscle hypertrophy;Muscle hypertrophy of the lower extremities;FKTN, FCMD, CMD1X, LGMD2M, MDDGA4, MDDGB4, MDDGC4;607440;9q31.2
GABA aminotransferase deficiency;613163;gamma-amino butyric acid metabolism disorder;posterior fossa cyst;Intracranial cystic lesion;ABAT, GABAT;137150;16p13.2
Gamstorp-Wohlfart syndrome;137200;;foot dorsiflexor weakness;Proximal muscle weakness in lower limbs;HINT1, PRKCNH1, NMAN;601314;5q23.3
Gaucher's disease;230800;sphingolipidosis;increased bone mineral density;Abnormality of bone mineral density;GBA;606463;1q22
Gaucher's disease;230900;sphingolipidosis;feeding difficulties;Abdominal symptom;GBA;606463;1q22
Gaucher's disease;231000;sphingolipidosis;increased bone mineral density;Abnormality of bone mineral density;GBA;606463;1q22
Gaucher's disease;608013;sphingolipidosis;everted upper lip vermilion;Eclabion;GBA;606463;1q22
Gaucher's disease;610539;sphingolipidosis;increased cerebral lipofuscin;Atrophy/Degeneration affecting the central nervous system;PSAP, SAP1;176801;10q22.1
Gerstmann-Straussler-Scheinker syndrome;137440;prion disease;perseveration;Behavioral abnormality;PRNP, PRIP, KURU, CJD;176640;20p13
Gilbert syndrome;143500;bilirubin metabolic disorder;unconjugated hyperbilirubinemia;Hyperbilirubinemia;UGT1A1, UGT1, GNT1, BILIQTL1;191740;2q37.1
Gilles de la Tourette syndrome;137580;tic disorder;phonic tics;Tics;HDC;142704;15q21.2
Gilles de la Tourette syndrome;137580;tic disorder;phonic tics;Tics;SLITRK1, KIAA1910, TTM;609678;13q31.1
Gitelman syndrome;263800;renal tubular transport disease;renal magnesium wasting;Abnormal urine magnesium concentration;SLC12A3, NCCT, TSC;600968;16q13
Glanzmann's thrombasthenia;273800;blood platelet disease;impaired platelet aggregation;Abnormal platelet function;ITGA2B, GP2B, CD41B, GT, BDPLT2, BDPLT16;607759;17q21.31
Glanzmann's thrombasthenia;273800;blood platelet disease;impaired platelet aggregation;Abnormal platelet function;ITGB3, GP3A, GT, BDPLT2, BDPLT16;173470;17q21.32
Greig cephalopolysyndactyly syndrome;175700;acrocephalosyndactylia;cognitive impairment;Abnormality of higher mental function;GLI3, PAPA, PAPB;165240;7p14.1
Guillain-Barre syndrome;139393;autoimmune disease of peripheral nervous system;acute demyelinating polyneuropathy;Demyelinating peripheral neuropathy;PMP22, CMT1A, CMT1E, DSS;601097;17p12
Hailey-Hailey disease;169600;skin disease;skin ulcer;Localized skin lesion;ATP2C1, BCPM, HHD;604384;3q22.1
Hajdu-Cheney syndrome;102500;autosomal dominant disease;osteolytic defects of the phalanges of the hand;Osteolytic defects of the hand bones;NOTCH2, AGS2, HJCYS;600275;1p12-p11
Hartnup disease;234500;amino acid metabolic disorder;cognitive impairment;Abnormality of higher mental function;SLC6A19, HND;608893;5p15.33
Hermansky-Pudlak syndrome;203300;autosomal recessive disease;freckles in sun-exposed areas;Hyperpigmentation in sun-exposed areas;HPS1;604982;10q24.2
Hermansky-Pudlak syndrome;608233;autosomal recessive disease;acetabular dysplasia;Abnormality of the acetabulum;AP3B1, ADTB3A, HPS2;603401;5q14.1
Hermansky-Pudlak syndrome;614072;autosomal recessive disease;abnormal platelet granules;Abnormal platelet morphology;HPS3;606118;3q24
Hermansky-Pudlak syndrome;614073;autosomal recessive disease;abnormal platelet granules;Abnormal platelet morphology;HPS4;606682;22q12.1
